standort_equipment;technplatzbezeichng;equipment;equipmentname;ort;wirtschaftseinheit;hersteller;baujahr;antriebsart;anzahl_haltestellen;anzahl_tueren_kabine;anzahl_tueren_schacht;foerdergeschwindigkeit;foerderhoehe;lage;tragkraft;erweiterte_ortsangabe;min_tuerbreite;kabinentiefe;kabinenbreite;kabinenhoehe;tuerhohe;fabriknummer;tuerart;geokoordinaterechtswert;geokoordinatehochwert;ausftextlichebeschreibung
;Bahnsteig 2/4 Ri. Berlin;10467816;AZ Bahnsteig 2/4 Fabr.Nr.: 284011161;Trebbin;6242;Thyssen Krupp AG;2012;SEIL;     2;     4;     4;     0,45;     4,55;OBEN;    630;10467810;    900;    1540;    1100;    2200;    2100;198;ZS2;    3789105,844;    5795478,6320000002;Aufzug zu Bstg 2/4 Richtung Berlin
BAHNSTEIG B GLEIS 1/2;Bahnsteig B Gleis 1/2;10467817;Personenaufzug Neu 281410073;Gifhorn;2122;Thyssen Krupp AG;2011;SEIL;     2;     2;     2;     1;     4,245;;    1000;;;;;;;;;    3605141,1770000001;    5814763,4369999999;Aufzug zu Gleis 1/2
BAHNSTEIG A GLEIS 4;Bahnsteig A Gleis 4;10467818;Personenaufzug Neu 281410075;Gifhorn;2122;Thyssen Krupp AG;2011;SEIL;     2;     2;     2;     1;     4,145000000000001;;    630;;;;;;;;;    3605137,1460000002;    5814747,2390000001;Aufzug zu Gleis 4
;Bahnsteigbereich;10467819;AZ Gl. 3-4 (Halle West)/F-Nr: 284011164;Hackescher Markt;2447;Thyssen Krupp AG;2012;SEIL;     2;     2;     2;     1;     6,755;INNEN;    1050;"GL3/4;AUSGANG";    1000;    2100;    1100;    2200;    2100;284011164;ZS2;;;Aufzug zu Gleis 3/4 (West)
;Mittelbahnsteig;10467821;AZ Gl. 1-2 - Brücke/Fabrik-Nr: 284011165;Storkower Straße;6042;Thyssen Krupp AG;2012;SEIL;     2;     2;     2;     1;     5,305000000000001;AUßEN;    1050;"FUßGAENGERBRUECKE;AUSGANG";    1000;    2100;    1100;    2200;    2100;284011165;ZS2;    3803031,8050000002;    5830564,4950000001;Aufzug zwischen Gleis 1/2 und Brücke
;S-Bahnsteig 03    C;10467822;AZ S-Bstg 5/6 Fabrik Nr: 284011166;Berlin-Friedrichstraße;527;Thyssen Krupp AG;2012;SEIL;     5;     2;     6;     1;    11,197000000000001;INNEN;    1050;GL5/6;    900;    2100;    1100;    2250;    2100;284011166;ZS2;;;Aufzug zu Gleis 5/6
GLEIS 3/4;Personentunnel;10467887;Personenaufzug Bstg. 2;Gütersloh Hbf;2438;Thyssen Krupp AG;2011;SEIL;     2;     2;     2;     1;     3,79;INNEN;    1050;"AUSG. ; GL 3/4";    1000;    2100;    1100;    2300;    2000;281510021;ZS2;;;Aufzug zu Gleis 3/4
GLEIS 1/2;Personentunnel;10467888;Personenaufzug Bstg. 1;Gütersloh Hbf;2438;Thyssen Krupp AG;2011;SEIL;     2;     2;     2;     1;     3,77;PU;    1050;"AUSG. ; GL 1/2";    1000;    2100;    1100;    2300;    2000;281510020;ZS2;;;Aufzug zu Gleis 1/2
;S-Bahnsteig;10467950;Personenaufzug HA 0015 Neu;Rübenkamp;5408;Thyssen Krupp AG;2011;SEIL;     2;     2;     2;     1;     4,57;;    1050;;    1000;;;    2250;    2100;281010059;;;;
;Empfangshalle Straßenebene;10467952;Personenaufzug  im EG HA 0057 Neu;Hamburg-Bergedorf;2518;OTIS GmbH & Co. OHG;2011;SEIL;     3;     2;     4;     1;     8,199999999999999;INNEN;    1050;;;;;;;;;;;
;S-Bahnsteig;10467954;Personenaufzug HA 0070 Neu;Poppenbüttel;4993;Thyssen Krupp AG;2013;SEIL;;;;;;;;;;;;;;;;    3572396,2239999999;    5947280,3760000002;
;S-Bahnsteig, Gl.1/2;10467958;Personenaufzug HA 126 Neu;Hamburg Dammtor;2513;Thyssen Krupp AG;2013;SEIL;;;;;;;;;;;;;;;;    3565675,8829999999;    5937027,0329999998;Aufzug zu Bstg 1/2
FERNBAHNSTEIG GL 3/4;Fernbahnsteig, Gl. 3/4;10467959;Personenaufzug HA 127 Neu;Hamburg Dammtor;2513;Thyssen Krupp AG;2013;SEIL;;;;;     9,52;;    900;;;;;;;;;    3565662,912;    5937017,1430000002;Aufzug zu Gleis 3/4
BAHNSTEIG 3, GL 1/2;"Fernbahnsteig 3; Gleis 1/2";10467966;Personenaufzug HA 050 neu;Hamburg-Harburg;2519;Thyssen Krupp AG;2012;SEIL;;;;;;;;;;;;;;;;;;Aufzug zu Gleis 1/2
BAHNSTEIG 2, GL. 3/4;"Fernbahnsteig 2; Gleis 3/4";10467968;Personenaufzug HA 051 Neu;Hamburg-Harburg;2519;Thyssen Krupp AG;2012;SEIL;;;;;;;;;;;;;;;;;;Aufzug zu Gleis 3/4
BAHNSTEIG 1, GL. 5/6;"Fernbahnsteig 1; Gleis 5/6";10467969;9ersonenaufzug HA 052 Neu;Hamburg-Harburg;2519;Thyssen Krupp AG;2012;SEIL;;;;;;;;;;;;;;;;;;Aufzug zu Gleis 5/6
;Ausgangsbauwerk Süd;10468024;AZ  Südzug. 284008079;Messe Nord / ICC (Witzleben);6840;Thyssen;2009;SEIL;     2;     1;     2;     1;     7,36;AUßEN;    1350;ZUGANG SUED - BSTG.;    1000;    2100;    1400;    2300;    2100;284008079;ZS2;;;
;Personenunterführung zum PAZ;10468113;PAZ (Bstg.1/2-Tunnel) Nr.47NAL831;Rostock Holbeinplatz;5367;OTIS GmbH & Co. OHG;2012;SEIL;     2;     2;     2;     1;     4,16;AUßEN;    1050;"GL1;GL2; PU1UG";    1000;    2100;    1400;    2200;    2100;47NAL831;ZS2;;;Aufzug zwischen Gleis 1/2 und Tunnel (1.Untergeschoss)
BAHNSTEIG 2;Bahnsteig 02 (Gleis 3/8);10468121;Personenaufzug Bstg. 2 (Gl. 3/8);Solingen Hbf;5882;Thyssen Krupp AG;2012;SEIL;     2;     2;     2;     1;     4,41;;    1050;;    1002;    2258;    1103;    2196;    2100;282010059;ZS2;    3360461,4180000001;    5671411,5590000004;Aufzug zu Gleis 3/8
BAHNSTEIG 1;Bahnsteig 1 - Gleis 2/3 und Gleis 2a/3a;10468331;Personenaufzug Bstg. 1 Gleis 2/3;Münster (Westf) Hbf;4280;Total;2012;SEIL;     2;;;;;;;GL2/3;    900;    2100;    1100;    2300;    2100;282210021;;    3406251,3530000001;    5758934,3729999997;Aufzug zu Gleis 2/3
;S-Bahnsteig 01;10468334;AZ Gl. 1-2 / Fabrik-Nr: 284011140;Yorckstraße (Großgörschenstraß;7755;Thyssen Krupp AG;2012;SEIL;     2;     2;     2;     1;     5,76;AUßEN;    1050;"GL1/2;AUSGANG";    1000;    2100;    1100;    2200;    2100;284011140;ZS2;;;"Aufzug zu Gleis 1/2 ; Ausgang Yorckstr. (Großgörschenstr.)"
;Bahnsteig 01;10468409;PAufzug_HA0370_Bstg.1;Kirchberg (Murr);3183;ThyssenKrupp Aufzüge GmbH;2012;SEIL;     2;     1;     2;;     5;;;;;;;;;287211060;;    3524173,4130000002;    5422482,0930000003;
;Bahnsteig 02;10468410;PAufzug_HA0371_Bstg.2;Kirchberg (Murr);3183;ThyssenKrupp Aufzüge GmbH;2012;SEIL;     2;;     2;;     5;;;;;;;;;287211061;;    3524170,8730000001;    5422464,7580000004;Aufzug zu Bstg 2
;Insel-Bahnsteig 5/6;10468411;Personenaufzug Bstg 5/6 Neu;Dresden-Neustadt;1352;Schindler Aufzüge und Fahrtrep;2012;SEIL;     2;     1;     2;     1;     4,91;;    1050;;;;;;;;;;;Aufzug zu Bstg 5/6
;Bahnsteig 01;10468412;PAufzug_HA0368_Bstg.1;Marbach (Neckar);3941;ThyssenKrupp Aufzüge GmbH;2012;SEIL;     2;;     2;;;;;;;;;;;287211062;;;;
;Bahnsteig 02;10468413;PAufzug_HA0369_Bstg.2;Marbach (Neckar);3941;ThyssenKrupp Aufzüge GmbH;2012;SEIL;     2;;     2;;;;;;;;;;;287211063;;;;Aufzug zu Bstg 2
;Bahnsteig 01, Gleis 1;10468414;PAufzug_HA0303_Bstg.1, Gl.1;Böblingen;720;ThyssenKrupp Aufzüge GmbH;2012;SEIL;     2;     2;     2;     1;     4,99;;    1000;;;;;;;287012129;;    3500468,611;    5394463,5889999997;Aufzug zu Gleis 1
BAHNSTEIG 1;Bahnsteig 1;10468480;Personenaufzug Bstg. 1 Gleis 3;Coesfeld (Westf);1062;Inotec;2012;SEIL;     2;;;;;;;GL3;    900;    2100;    1100;    2250;    2100;282210070;;    3373828,7000000002;    5757745,1840000004;Aufzug zu Gleis 3
BAHNSTEIG 2;Bahnsteig 2;10468481;Personenaufzug Bstg. 2 Gleis 4/5;Coesfeld (Westf);1062;Uniflair;2012;SEIL;     2;;;;;;;GL4/5;    900;    2100;    1100;    2250;    2100;282210071;;    3373812,2409999999;    5757739,6200000001;Aufzug zu Gleis 4/5
BAHNSTEIG 3;Bahnsteig 3;10468482;Personenaufzug Bstg. 3 Gleis 6;Coesfeld (Westf);1062;Uniflair;2012;SEIL;     2;;;;;;;GL6;    900;    2100;    1100;    2250;    2100;282210073;;    3373795,2110000001;    5757733,858;Aufzug zu Gleis 6
BAHNSTEIG 1;Bahnsteig Richtung Essen;10468492;Personenaufzug Bstg. 1 Gleis 1;Nottuln-Appelhülsen;167;Total;2012;SEIL;     2;;;;;;;GL1;    900;    2100;    1100;    2250;    2100;282210068;;    3391721,554;    5752074,1960000005;Aufzug zu Gleis 1 Richtung Essen
BAHNSTEIG 2;Bahnsteig Richtung Münster;10468493;Personenaufzug Bstg. 2 Gleis 2/3;Nottuln-Appelhülsen;167;Airwell;2012;SEIL;     2;;;;;;;GL2/3;    900;    2100;    1100;    2250;    2100;282210069;;    3391730,5860000001;    5752058,0719999997;Aufzug zu Gleis 2/3 Richtung Münster
;Bahnsteig 02;10468606;Personenaufzug Bstg. 2 (HA 0034);Mainz Römisches Theater;3900;Thyssen Krupp AG;2012;SEIL;     2;     1;     1;;;;;;;;;;;;;;;Aufzug zu Gleis 2/3
;Bahnsteig 03;10468607;Personenaufzug Bstg 3 (HA 0035);Mainz Römisches Theater;3900;Thyssen Krupp AG;2012;SEIL;     2;     1;     1;;;;;;;;;;;;;;;Aufzug zu Gleis 3
;R. 0.036 Anlieferung;10468771;Lastenaufzug im EG ( Personenaufzug );Hamburg-Bergedorf;2518;OTIS GmbH & Co. OHG;2010;SEIL;     2;     2;     2;     1;     2,78;INNEN;    1000;;;;;;;;;;;
FREISTEHEND;S-Bahnsteig Gleis 20/21;10468777;Aufzug Bstg Gl.20/21;Fürth (Bay) Hbf;1984;Thyssen Krupp AG;2012;SEIL;     2;     2;     2;;     4;GLEIS 20/21;    1050;BAHNSTEIGMITTE;    1000;    2100;    1100;    2200;    2100;258112006;ES2;;;Aufzug zu Gleis 20/21
BAHNSTEIG 1;Bahnsteig 1;10468982;Personenaufzug Bstg 1;Burg (b Magdeburg);973;Thyssen Krupp AG;2012;SEIL;     2;     1;     2;     1;     4,36;;    630;;;;;;;;;    3693923,0300000003;    5797225,2089999998;
BAHNSTEIG 2/3;Bahnsteig 2 / 3;10468983;Personenaufzug Bstg 2/3;Burg (b Magdeburg);973;Thyssen Krupp AG;2012;SEIL;     2;     2;     2;     1;     4,5;;    675;;;;;;;;;    3693914,5210000002;    5797237,5999999996;Aufzug zu Bstg 2/3
;Bahnsteig 1;10468984;Personenaufzug Bstg 1;Genthin;2066;Thyssen Krupp AG;2013;SEIL;     2;     2;     2;     1;;;    630;;;;;;;;;    3714921,9079999998;    5812479,6969999997;
;Bahnsteig 2/3;10468985;Personenaufzug Bstg 2/3;Genthin;2066;Thyssen Krupp AG;2013;SEIL;     2;     2;     2;     1;;;    630;;;;;;;;;    3714911,5320000001;    5812454,6909999996;Aufzug zu Bstg 2/3
TUNNEL;Personentunnel;10468987;Personenaufzug  Personentunnel;Genthin;2066;Thyssen Krupp AG;2012;SEIL;     2;     2;     2;;;;;AUSGANG BEBEL-STR. PTU;;;;;;;;    3714910,6359999999;    5812427,8930000002;
BSTG.;S-Bahnsteig 01;10469091;Aufzug S-Bahn-Bstg;Nürnberg Rothenburger Straße;4596;Thyssen Krupp AG;2012;SEIL;     2;     2;     2;;     6,51;BAHNSTEIG;    1050;BAHNSTEIGENDE;    1000;    2100;    1100;    2200;    2100;285112015;ZS2;;;
BSTG. 2/3;Bahnsteig Gleis 2/3;10469255;Personenaufzug   HA 247    46101;Offenbach (Main) Ost;4743;Thyssen Krupp AG;2012;SEIL;     2;     2;     2;     1;     7;;    675;;;;;;;;;    3484665,2889999999;    5551855,8609999996;Aufzug zu Bstg 2/3
BAHNSTEIG1;Bahnsteig 1;10469593;Personenaufzug Gl.1;Papenburg (Ems);4857;Thyssen Krupp AG;2012;SEIL;     2;     2;     1;;;;;BAHNSTEIG 1 ZUR PUE;    1000;    2250;    1250;    2200;    2100;281912005;;    3392066,0240000002;    5885452,7170000002;Aufzug zwischen Gleis 1 und Brücke
;Bahnsteig 2;10469594;Personenaufzug Gl.2;Papenburg (Ems);4857;Thyssen Krupp AG;2012;SEIL;     2;     1;     2;;;;;BAHNSTEIG 2 ZUR PUE;    1000;    2250;    1250;    2200;    2100;281312006;;    3392058,1630000002;    5885459,4809999997;Aufzug zwischen Gleis 2 und Brücke
EG,MITTE,EMPFANGSHALLE/GLEIS 8;Empfangshalle;10469929;Personenaufzug Neu 281410076;Wolfsburg Hbf;6859;Thyssen Krupp AG;2012;SEIL;     2;     2;     2;     1;     4,105;EMPFANGSHALLE/PERSONENTUNNEL;    675;;;;;;;;;;;
ZUWEG;Zuwegung;10470152;Aufzug Zuweg;Ilsenburg;2980;Thyssen Krupp AG;2011;SEIL;;;;;;;;;;;;;;;;;;
BAHNSTEIG 1/2;Bahnsteig 1/2;10470153;Aufzug Bahnsteig 1/2;Ilsenburg;2980;Thyssen Krupp AG;2011;SEIL;     2;     1;     2;;;;;;;;;;;;;;;Aufzug zu Bstg 1/2
;Bahnsteig 7/8;10470156;Personenaufzug Bstg. 7/8 neu;Görlitz;2194;Thyssen Krupp AG;2012;SEIL;     2;     2;     2;     1;     6,75;ZUGANG IM PTU;    1070;;;;;;;;;    3918273,0499999998;    5685010,3140000002;Aufzug zwischen Bstg 7/8 und Tunnel
BSTG. 11/12;Bahnsteig 11/12;10470157;Personenaufzug Bstg. 11/12 neu;Görlitz;2194;Thyssen Krupp AG;2012;SEIL;     2;     2;     2;     1;     6,75;ZUGANG IM PTU;    1070;;;;;;;;;    3918258,0460000001;    5684971,4239999996;Aufzug zwischen Bstg 11/12 und Tunnel
MITTELBAHNSTEIG;Bahnsteig 2/3 (Richtung Bremen);10470213;Personenaufzug Neu;Etelsen;1721;Thyssen Krupp AG;2011;SEIL;     2;     2;     2;     1;     4,560000000000001;;    1050;;;;;;;;;;;Aufzug zu Bstg 2/3 Richtung Bremen
MEDITERRANO MÜNCHEN HBF;Empfangsgebäude nördl. Randbau;10470423;Personenaufzug HA 129;München Hbf;4234;Berchtenbreiter GmbH München;2013;SEIL;     6;     1;     6;;;KANTINENTREPPENHAUS;    600;TREPPENHAUS B;    1000;    1400;    1400;    2200;    2000;895.202;ZS2;;;
MITTELBAHNSTEIG;Bahnsteig 3/4/5;10470708;Aufzug Mittelbahnsteig;Traunstein;6240;Thyssen Krupp AG;2012;SEIL;     2;     2;     2;;     4,1;AUßEN;    1450;BAHNSTEIGENDE;    1100;    2100;    1400;    2150;    2100;285012061;ES2;    3772298,324;    5309958,6739999996;Aufzug zu Bstg 3/4/5
BAHNSTEIG 1;Bstg 1 Gl. 1- Ri DO/ Gl. 2 Ri HG;10471041;Personenaufzug Bstg. 1 HA 1472;Witten Hbf;6822;;2011;SEIL;     2;     2;     2;     0,1;     4,68;;;"GL1;GL2;0OG";    1000;    1600;    1100;    2100;    2100;282310032;ZS2;    3383906,5610000002;    5701445,1409999998;Aufzug zwischen Gleis 1/2 Richtung Dortmund/Hagen und Erdgeschoss
BAHNSTEIG 1;Bahnsteig 01;10471326;Personenaufzug Bstg. 1;Essen-Kupferdreh;1709;;2012;SEIL;     2;;;;;;;"GL1;GL2;AUSG";    1000;    2100;    1100;    2200;    2010;282210074;ZS2;    3366440,5040000002;    5696900,1359999999;Aufzug zu Gleis 1/2
;Bahnsteig 1/2;10471811;Personenaufzug 281410070;Hannover - Vinnhorst;6424;Thyssen Krupp AG;2013;SEIL;     2;     2;     2;     1;     6,810000000000001;;    1050;;    900;    2100;    1100;    2250;    2100;281410070;ZS2;    3548216,6749999998;    5810332,034;Aufzug zu Bstg 1/2
GLEIS 1;Bahnsteig  1;10471927;Personenaufzug Neu;Bremen Hbf;855;Thyssen Krupp AG;2012;SEIL;     2;     2;     3;     1;     5,09;AUßEN;    1050;;;;;;;281310025;;    3487561,906;    5883429,5659999996;Aufzug zu Gleis 1
GLEIS 2/3;Bahnsteig  2/3;10471928;Personenaufzug Neu;Bremen Hbf;855;Thyssen Krupp AG;2012;SEIL;     2;     2;     3;     1;     5,09;AUßEN;    1050;;;;;;;281310026;;    3487572,335;    5883442,6200000001;Aufzug zu Gleis 2/3
GLEIS 5/6;Bahnsteig  5/6;10471929;Personenaufzug Neu;Bremen Hbf;855;Thyssen Krupp AG;2013;SEIL;     2;     2;     3;     1;     5,09;AUßEN;    1050;;;;;;;281310027;;    3487590,0249999999;    5883465,0329999998;Aufzug zu Gleis 5/6
GLEIS 7/8;Bahnsteig  7/8;10471930;Personenaufzug Neu;Bremen Hbf;855;Thyssen Krupp AG;2013;SEIL;     2;     2;     3;     1;     5,09;AUßEN;    1050;;;;;;;281310028;;    3487597,8709999998;    5883484,3899999997;Aufzug zu Gleis 7/8
GLEIS 9/10;Bahnsteig  9/10;10471931;Personenaufzug Neu;Bremen Hbf;855;Thyssen Krupp AG;2013;SEIL;     2;     2;     3;     1;     5,09;AUßEN;    1050;;;;;;;281310029;;    3487612,1630000002;    5883502,5180000002;Aufzug zu Gleis 9/10
TRAKTIONSANTRIEB;Empfangsgebäude;10472093;HA 1069 Wurmtaldächer (Traktionsantrieb);München-Pasing;4266;Hiro Lift;2012;SEIL;     2;     2;     2;     0,3;     0,9;;;;;;;    2100;;115061;;    3683207,9640000002;    5337505,3080000002;
ÖFFENTLICH;Erweiterung EG Terminalgebäude NUP-C;10472094;HA 1071 Terminalgebäude West;München-Pasing;4266;Butz & Neumair GmbH;2012;SEIL;     3;     2;     3;;;EMPFANGSGEBAEUDE;    1050;TERMINAL WEST;    1000;    2100;    1100;    2200;    2100;11-2607;;;;
NICHT ÖFFENTLICH;Erweiterung EG Terminalgebäude NUP-C;10472095;HA 1070 Terminalgebäude Ost nicht öffent;München-Pasing;4266;Butz&Neumeyer;2012;SEIL;     2;     1;     2;;;;    1000;;;;;;;;;;;
BAHNSTEIG 2/3;Bahnsteig 02 (Gl 2/3) 292 mtr.;10472358;Aufzug Bstg Gl. 2/3;Erlangen;1650;Thyssen Krupp AG;2012;SEIL;     2;     2;     2;;     4,3;GLEIS 2/3;    1350;BAHNSTEIGMITTE;    1000;    2100;    1400;    2200;    2100;285111045;;;;Aufzug zu Gleis 2/3
PERSONENAUFZUG BSTG.1;Bahnsteig 1;10472578;Personenaufzug HA 708 Bstg 1;Überlingen;8002;Thyssen Krupp AG;2013;SEIL;     2;     2;     2;;     5;BAHNSTEIG;    700;;;;;;;;;;;
VOM BSTG IN DIE PU;Bahnsteig GL 1(Hausbahnsteig);10472682;AZ Bstg. 1;Prenzlau;5023;Thyssen Krupp AG;2012;SEIL;     2;     2;     2;     1;     4,657;AUßEN;    1050;"BSTG. 2;PU";    900;    2100;    1000;    2300;    2100;284011082;ZS2;    3824248,3470000001;    5920971,4409999996;Aufzug zwischen Gleis 1 und Tunnel
VOM BSTG IN DIE PU UND AZ GL 2;Bahnsteig GL 2/3;10472684;AZ Bstg. 2/3;Prenzlau;5023;Thyssen Krupp AG;2012;SEIL;     2;     2;     2;     1;     4,612;"AUßEN GL. 1/7;PU UND ZUM AZ GL";    1050;"GL. 1/7;PU";    900;    2100;    1000;    2300;    2100;284011083;ZS2;    3824231,7760000001;    5920973,9790000003;Aufzug zwischen Gleis 2/3 und Tunnel
GLEIS 7/8;S-Bahnsteig 01 Geis 7/8    Bstg. D;10472724;HA 1006 Bstg D;München Ost;4241;Thyssen Krupp AG;2012;SEIL;     2;     2;     2;     1;     4,51;GLEIS 7/8;    13754;BAHNSTEIGMITTE;    1100;    2100;    1400;    2150;    2100;285011127;ZS2;;;Aufzug zu Gleis 7/8
;Bahnsteig Gleis 5/6;10472744;Aufzug Nr.:284010030 Bahnsteig 5/6;Nauen;4306;Thyssen Krupp AG;2011;SEIL;     2;     1;     1;     1;     5,5;BSTG ENDE;    1000;BSTG ENDE;    1000;    2200;    1150;    2100;    2000;284010030;ZS2;    3763212,202;    5838195,6859999998;Aufzug zu Gleis 5/6 (Ende)
;Bahnsteig Gleis 2;10472746;Aufzug Nr.:284010029 Bahnsteig 2;Nauen;4306;Thyssen Krupp AG;2011;SEIL;     2;     1;     1;     1;     5,5;BSTG ENDE;    1000;BSTG ENDE;    1000;    2200;    1150;    2100;    2000;284010029;ZS2;    3763203,9909999999;    5838173,5159999998;Aufzug zu Gleis 2 (Ende)
;Bahnsteig 1;10472776;Aufzug Bstg.1  ( EXT Otis instand.);Landau (Pfalz) Hbf;3505;;2013;SEIL;;;;;;;;;;;;;;;;;;
;"Bahnsteig 2; Gl.2/3";10472777;Aufzug Bstg. ( EXT Otis Instand. );Landau (Pfalz) Hbf;3505;;2013;SEIL;;;;;;;;;;;;;;;;;;Aufzug zu Gleis 2/3
;"Bahnsteig 3; Gl.4/5";10472778;Aufzug Bstg.3 ( EXT Otis Instand. );Landau (Pfalz) Hbf;3505;;2013;SEIL;;;;;;;;;;;;;;;;;;Aufzug zu Gleis 4/5
;Bahnsteig 02, Gleise 3 + 4 (S-Bahn);10472833;PAufzug_HA0327_Bstg.2, Gl.3/4;Esslingen-Mettingen;1717;ThyssenKrupp Aufzüge GmbH;2013;SEIL;     2;     2;     2;     1;     4,39;NEBEN;    675;;;;;;;287012198;;;;Aufzug zu Gleis 3/4
;S-Bahnsteig;10472990;Personenaufzug   HA 009;Frankfurt (Main) Taunusanlage;1857;Thyssen Krupp AG;2013;SEIL;     3;     3;     3;     1;    15;;    1000;;;;;;;;;;;
;Hausbahnsteig;10473068;HA192, Aufzug S-Bahn;Haar;2443;Thyssen Krupp AG;2010;SEIL;     2;     1;     2;     0,6;     4,2;NEBEN;    900;;;;;;;;;    3703420,4759999998;    5333962,3710000003;
MITTELBAHNSTEIG;Mittelbahnsteig Gleis 4/5;10473069;HA193, Aufzug Mittelbstg;Haar;2443;Thyssen Krupp AG;2009;SEIL;     2;     1;     2;     1;     4,770000000000001;NEBEN;    900;BAHNSTEIGMITTE;    1000;    1700;    1200;    2070;    2000;285009109;ES2;    3703434,6660000002;    5333988,824;Aufzug zu Gleis 4/5
MITTELBAHNSTEIG;Bahnsteiggeschoss 1.UG;10473103;Personenaufzug HA 188;Ismaning;3010;OTIS GmbH & Co. OHG;2010;SEIL;     2;     1;     2;     1;     6,03;UNTERFUEHRHUNG;    1000;BAHNSTEIGENDE;    1000;    2100;    1400;    2150;    2000;47KAL968;ZS2;    3699137,8849999998;    5346489,6540000001;
;10.Ebene;10473517;AZ BT 5 Nord Fabrik Nr: 284011167 NRR;Berlin Ostbahnhof;530;Thyssen Krupp AG;2012;SEIL;    11;     1;    11;     1,6;    36,300000000000004;INNEN;    1000;NRR BUEROGEBAEUDE;    900;    2100;    1100;    2300;    2100;284011167;ZS2;;;
;10.Ebene;10473518;AZ BT 5 FW Nord Fabrik Nr: 284011168 NRR;Berlin Ostbahnhof;530;Thyssen Krupp AG;2012;SEIL;    12;     1;    12;     1,6;    39,75;INNEN;    1000;NRR BUEROGEBAEUDE;    900;    2100;    1100;    2300;    2100;284011168;ZS2;;;
;10.Ebene;10473519;AZ BT 5 FW Süd Fabrik Nr: 284011169 NRR;Berlin Ostbahnhof;530;Thyssen Krupp AG;2012;SEIL;    12;     1;    12;     1,6;    39,75;INNEN;    1000;NRR BUEROGEBAEUDE;    900;    2100;    1100;    2300;    2100;284011169;ZS2;;;
;10.Ebene;10473520;AZ BT 5 Süd Fabrik Nr: 284011170 NRR;Berlin Ostbahnhof;530;Thyssen Krupp AG;2012;SEIL;    11;     1;    11;     1,6;    36,300000000000004;INNEN;    1000;NRR BUEROGEBAEUDE;    900;    2100;    1100;    2300;    2100;284011170;ZS2;;;
;Flur 1 Süd 4.U.23 3xAZ;10473521;AZ BT 4 Fabrik Nr: 284011171 NRR;Berlin Ostbahnhof;530;Thyssen Krupp AG;2012;SEIL;     4;     2;     4;     1;    19,050000000000001;INNEN;    800;NRR BUEROGEBAEUDE;    900;    1400;    1380;    2300;    2100;284011171;ES2;;;
;Flur 1 Süd 4.U.23 3xAZ;10473522;AZ BT 4 Fabrik Nr: 284011172 NRR;Berlin Ostbahnhof;530;Thyssen Krupp AG;2012;SEIL;     4;     2;     4;     1;    19,050000000000001;INNEN;    800;NRR BUEROGEBAEUDE;    900;    1400;    1380;    2300;    2100;284011172;ES2;;;
;Mittelbahnsteig Gleis 5 u. 6;10473532;Personenaufzug Bstg 3;Wittlich Hbf;6834;Thyssen Krupp AG;2013;SEIL;     2;;;;;;;;;;;;;;;;;Aufzug zu Gleis 5/6
;Mittelbahnsteig Gleis 2 u. 3;10473533;Personenaufzug Bstg 2;Wittlich Hbf;6834;Thyssen Krupp AG;2013;SEIL;     2;;;;;;;;;;;;;;;;;Aufzug zu Gleis 2/3
HAUSBAHNSTEIG;Hausbahnsteig;10473534;Personenaufzug Bstg 1;Wittlich Hbf;6834;;2013;SEIL;     2;     2;     2;     1;     3,92;;    1050;;;;;;;283310004;;;;
AUßENBAHNSTEIG 2;Leipzig-Plagwitz Bahnsteig 2;10473743;Personenaufzug_Bstg 2;Leipzig-Plagwitz;3645;OTIS GmbH & Co. OHG;2012;SEIL;     2;     1;     2;     1;     6,270000000000001;;;;;;;;;;;;;Aufzug zu Bstg 2
INSELBAHNSTEIG 1/2;Leipzig-Leutzsch Bahnsteig 1/2;10473744;Personenaufzug Bstg 1/2;Leipzig-Leutzsch;3642;OTIS GmbH & Co. OHG;2013;SEIL;     2;     2;     2;     1;     5,92;;    1070;;;;;;;;;;;Aufzug zu Bstg 1/2
;Bahnsteig 01;10473751;Personenaufzug Bstg 1;Meckenheim Industriepark;7769;;1995;HYDRAULISCH;;     2;;;;;;;;;;;;;;    3360543,5890000002;    5613886,0120000001;
;Bahnsteig 02;10473752;Personenaufzug Bstg 2;Meckenheim Industriepark;7769;;1995;HYDRAULISCH;;;;;;;;;;;;;;;;    3360532,514;    5613887,7259999998;Aufzug zu Bstg 2
NO.00.A30;Schacht Aufzug BO.A30;10473786;Aufzug BO.A30 (C) Lobby N0 1037460 NRR;Berlin Hauptbahnhof;1071;Fa. Schindler;2007;SEIL;    11;     1;    11;     2,5;    42,100000000000001;INNEN NRR BUEROGEBAEUDE;    1550;"AUSG;0OG;2OG:3OG;4OG;5OG;6OG;7";    910;    2215;    1150;    2620;    2100;1037460;ES2;;;
;Bahnsteig 02;10474056;PAufzug_HA0336_Bstg.2;Maichingen Nord;8109;ThyssenKrupp Aufzüge GmbH;2013;SEIL;     2;     2;     2;     1;     5,350000000000001;;    1050;;;;;;;287012239;;    3498494,773;    5398812,8569999998;Aufzug zu Bstg 2
GLEIS 4;Bahnsteig 2 Gl. 4;10474209;Auzug Gleis 4 neu;Büchen;929;;2012;SEIL;     2;     1;     2;     1;     4,3;;    1400;;;;;;;;;    3607842,0520000001;    5928337,5429999996;Aufzug zu Gleis 4
